Strain	t_0_2_1_UP	t_0_2_1_DOWN	YPGAL5_1_UP	YPGAL5_1_DOWN	YPD3_2_UP	YPD3_2_DOWN	t_0_1_1_UP	t_0_1_1_DOWN	YPD2_2_UP	YPD2_2_DOWN	YPD5_2_UP	YPD5_2_DOWN	YPD2_1_UP	YPD2_1_DOWN	YPD3_1_UP	YPD3_1_DOWN	YPGAL4_1_UP	YPGAL4_1_DOWN	YPGAL3_1_UP	YPGAL3_1_DOWN	YPD5_1_UP	YPD5_1_DOWN	YPGAL4_2_UP	YPGAL4_2_DOWN	YPD3_2_DN_UP	YPD3_2_DN_DOWN	YPGAL5_2_UP	YPGAL5_2_DOWN	t_0_1_2_UP	t_0_1_2_DOWN	YPGAL2_2_UP	YPGAL2_2_DOWN	YPD4_1_UP	YPD4_1_DOWN	t_0_2_2_UP	t_0_2_2_DOWN	YPGAL3_2_UP	YPGAL3_2_DOWN	YPD4_2_UP	YPD4_2_DOWN	YPGAL2_1_UP	YPGAL2_1_DOWN
YAL008W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR255W	809	0	1111	0	869	0	946	0	1148	0	982	0	1241	0	781	1	938	0	1199	0	1030	0	1035	0	0	0	1177	0	1026	0	1013	0	1131	0	949	0	1244	0	1212	0	1035	0
YGR164W	5	732	22	589	1	27	2	796	8	1141	17	1143	2	1207	5	1098	2	995	5	691	14	1025	14	895	0	1289	5	932	5	932	1	861	107	1323	1	858	6	696	5	1149	4	873
YGR131W	673	2	1125	1	841	0	789	1	1128	8	868	6	1198	6	799	1	1017	2	1193	5	902	6	1061	5	2	1	1179	3	1010	1	918	1	1051	1	756	4	1278	0	1100	0	803	1
YNL003C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR135W	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR160W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJL082W	0	847	0	593	0	27	0	792	0	1281	0	1235	0	1149	0	1107	0	1012	0	760	0	924	0	913	0	1286	0	979	0	932	0	939	0	1211	0	904	0	860	0	1102	0	807
YJL142C	1038	8	768	9	1013	0	1003	2	1344	70	702	88	1234	5	839	16	661	23	1141	21	716	11	754	11	1	13	794	4	1271	76	743	8	1250	18	1028	46	1343	43	1238	11	684	1
YPL191C	4	891	5	716	3	23	5	754	2	1363	5	1212	1	1145	4	1084	4	1111	4	808	7	1087	3	907	0	1446	10	1013	2	1102	4	976	10	1249	4	884	8	1037	7	1201	4	1039
YGL215W	0	638	0	432	0	24	0	753	0	1367	0	1233	0	1180	0	1186	0	800	0	569	0	1245	0	779	0	1713	0	731	0	907	0	617	0	1379	0	835	0	630	0	1166	0	635
