Strain	YPD5_2_UP	YPD5_2_DOWN	YPGAL5_1_UP	YPGAL5_1_DOWN	t_0_1_2_UP	t_0_1_2_DOWN	YPGAL4_2_UP	YPGAL4_2_DOWN	YPD2_2_UP	YPD2_2_DOWN	YPGAL2_2_UP	YPGAL2_2_DOWN	YPD3_2_DN_UP	YPD3_2_DN_DOWN	YPD5_1_UP	YPD5_1_DOWN	YPD3_1_UP	YPD3_1_DOWN	YPGAL4_1_UP	YPGAL4_1_DOWN	YPD4_1_UP	YPD4_1_DOWN	YPGAL3_1_UP	YPGAL3_1_DOWN	YPD4_2_UP	YPD4_2_DOWN	YPGAL3_2_UP	YPGAL3_2_DOWN	YPGAL5_2_UP	YPGAL5_2_DOWN	t_0_2_1_UP	t_0_2_1_DOWN	YPD3_2_UP	YPD3_2_DOWN	t_0_2_2_UP	t_0_2_2_DOWN	t_0_1_1_UP	t_0_1_1_DOWN	YPD2_1_UP	YPD2_1_DOWN	YPGAL2_1_UP	YPGAL2_1_DOWN
YAL008W	522	0	661	0	750	0	692	0	691	0	741	0	0	0	516	0	490	0	682	0	684	0	885	0	820	0	1004	0	741	0	656	0	603	0	700	0	582	0	664	0	770	0
YBR255W	987	1457	1114	672	1032	1092	1039	1014	1152	1407	1014	889	0	1407	1031	1327	785	1237	940	1102	1131	1469	1201	808	1217	1296	1248	914	1183	959	813	922	873	36	953	1061	947	956	1244	1203	1038	1071
YGR164W	18	1148	23	590	5	933	14	896	8	1155	1	863	0	1294	14	1026	5	1102	2	997	108	1327	5	696	5	1156	6	697	5	934	5	734	1	27	1	862	2	798	2	1217	4	876
YGR131W	885	1187	1143	764	1035	953	1082	1040	1154	1279	940	766	2	1413	921	1055	828	1114	1039	1072	1074	1267	1219	820	1120	1109	1307	901	1201	930	681	757	859	22	770	783	800	785	1225	1077	815	780
YNL003C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR135W	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR160W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJL082W	739	1243	1002	595	969	936	974	918	1166	1286	954	942	1	1289	823	931	747	1114	815	1023	918	1215	1076	763	1071	1103	1126	863	930	980	683	852	690	28	644	906	769	793	1139	1155	861	810
YJL142C	706	88	771	9	1275	76	755	11	1349	71	743	8	2	13	720	11	843	17	663	23	1253	18	1146	21	1240	11	1345	43	795	5	1041	8	1015	0	1030	46	1008	2	1237	5	687	1
YPL191C	5	1213	6	717	2	1106	3	909	2	1368	4	979	0	1449	7	1094	4	1089	4	1114	10	1255	4	809	7	1208	8	1039	10	1017	4	896	3	23	4	887	5	759	1	1150	4	1042
YGL215W	0	1244	0	436	0	908	0	786	0	1378	0	621	0	1722	0	1249	0	1200	0	805	0	1387	0	573	0	1175	0	631	0	734	0	642	0	24	0	840	0	764	0	1190	0	641
YKL074C	460	511	614	399	860	899	621	616	407	405	612	665	0	499	374	462	311	562	556	632	442	465	747	539	375	469	865	553	655	548	620	766	337	15	720	680	684	721	364	462	629	704
YJL077C	760	1130	608	321	1173	862	622	397	938	910	717	587	2	1074	861	1042	765	858	511	517	1134	1038	606	371	1097	991	579	341	592	502	902	905	764	16	915	991	871	812	821	693	695	565
YKL096W-A	222	782	459	363	231	563	361	634	141	672	168	600	0	564	301	677	139	611	185	744	638	638	241	648	277	497	95	634	204	576	191	513	67	22	118	661	154	434	89	439	290	660
YIL124W	582	872	641	448	938	898	766	774	887	924	724	664	0	990	591	742	624	868	684	743	924	1122	974	798	987	1140	1131	935	718	630	739	788	554	21	616	937	712	765	768	911	733	686
YIL171W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
