Strain	t_0_2_1_UP	t_0_2_1_DOWN	YPGAL5_1_UP	YPGAL5_1_DOWN	YPD5_2_UP	YPD5_2_DOWN	YPGAL3_2_UP	YPGAL3_2_DOWN	YPD2_2_UP	YPD2_2_DOWN	YPD4_2_UP	YPD4_2_DOWN	YPGAL2_2_UP	YPGAL2_2_DOWN	YPGAL3_1_UP	YPGAL3_1_DOWN	YPGAL4_2_UP	YPGAL4_2_DOWN	YPGAL4_1_UP	YPGAL4_1_DOWN	YPGAL2_1_UP	YPGAL2_1_DOWN	YPD3_2_UP	YPD3_2_DOWN	YPD3_2_DN_UP	YPD3_2_DN_DOWN	t_0_1_2_UP	t_0_1_2_DOWN	YPD4_1_UP	YPD4_1_DOWN	YPGAL5_2_UP	YPGAL5_2_DOWN	YPD5_1_UP	YPD5_1_DOWN	t_0_2_2_UP	t_0_2_2_DOWN	t_0_1_1_UP	t_0_1_1_DOWN	YPD3_1_UP	YPD3_1_DOWN	YPD2_1_UP	YPD2_1_DOWN
YAL008W	667	0	672	0	528	0	1024	0	698	0	831	0	755	0	899	0	704	0	688	0	781	0	611	0	0	0	767	0	691	0	758	0	522	0	711	0	592	0	502	0	673	0
YBR255W	813	944	1115	682	987	1476	1251	921	1153	1424	1220	1312	1014	901	1202	818	1042	1030	942	1133	1040	1087	873	37	0	1432	1033	1104	1132	1510	1184	977	1031	1353	957	1080	947	974	786	1265	1247	1215
YGR164W	5	738	23	591	18	1150	6	699	8	1158	5	1159	1	864	5	696	14	896	2	997	4	876	1	27	0	1294	5	935	108	1331	5	935	14	1026	1	865	2	800	5	1105	2	1218
YGR131W	684	774	1149	776	887	1207	1310	914	1160	1296	1131	1122	945	771	1224	835	1086	1050	1044	1089	816	790	860	22	2	1437	1040	958	1078	1282	1205	948	926	1069	774	793	801	801	831	1146	1234	1091
YNL003C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YBR135W	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
YBR160W	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YJL082W	698	856	1018	595	757	1244	1145	865	1190	1291	1083	1105	969	944	1095	765	991	920	829	1024	873	810	705	28	1	1291	982	936	938	1216	942	981	837	936	655	907	788	795	765	1116	1164	1159
YJL142C	1043	8	772	9	706	88	1347	43	1349	71	1241	11	746	8	1146	21	756	11	665	23	687	1	1015	0	2	13	1277	77	1254	18	795	5	721	11	1031	46	1012	2	846	17	1239	5
YPL191C	4	897	6	718	5	1215	8	1039	2	1370	7	1210	4	980	4	812	3	911	4	1114	4	1042	3	25	0	1449	2	1108	10	1257	10	1019	7	1097	4	888	5	760	4	1093	1	1152
YGL215W	686	644	829	438	940	1248	1051	632	1393	1381	1240	1177	729	623	950	573	816	787	756	809	700	643	1153	24	0	1728	991	910	1125	1390	853	737	954	1255	739	840	822	768	1012	1203	1275	1195
YKL074C	620	768	614	400	461	511	867	556	407	405	377	469	615	669	753	542	622	619	558	634	632	707	338	15	0	501	861	901	442	467	659	548	374	463	720	681	687	722	313	564	364	464
YJL077C	906	910	608	321	761	1134	579	344	942	915	1099	995	718	590	608	374	623	399	511	518	696	565	766	16	2	1076	1177	863	1136	1040	592	504	862	1051	916	992	871	817	767	862	825	698
